year;competition_name;event_name;distance;time_limit;main_measurement_unit;second_measurement_unit;min_weight;max_weight;weights;deadlift;attempts;max_lifts;lifts_num;implements_num;implements
2017;Europe's Strongest Man;Atlas Stones;;;s;reps;120.0;200.0;[120.0, 200.0];;;5;;5.0;
2018;Europe's Strongest Man;Max Log Lift;;;kg;;;;;;;;;;
2018;Europe's Strongest Man;Deadlift;;60.0;reps;;380.0;380.0;[380.0];;;;;;
2018;Europe's Strongest Man;Farmer's Walk;40.0;;s;m;160.0;160.0;[160.0];;;;;;
2018;Europe's Strongest Man;Car Walk;20.0;;s;;450.0;450.0;[450.0];;;;;;
2018;Europe's Strongest Man;Atlas Stones;;;s;reps;120.0;200.0;[120.0, 200.0];;;5;;5.0;
2019;Europe's Strongest Man;Max Log Lift;;;kg;;;;;;;;;;
2019;Europe's Strongest Man;Deadlift;;60.0;reps;;350.0;350.0;[350.0];;;;;;
2019;Europe's Strongest Man;Flip & Drag;;;s;m;;;;;;;;;
2019;Europe's Strongest Man;Hercules Hold;;;s;;;;;;;;;;
2019;Europe's Strongest Man;Atlas Stones;;;s;reps;120.0;200.0;[120.0, 200.0];;;5.0;;5.0;
2020;Europe's Strongest Man;Max Log Lift;;;kg;;;;;;;;;;
2020;Europe's Strongest Man;Hercules Hold;;;s;;;;;;;;;;
2020;Europe's Strongest Man;Front Hold;;;s;;35.0;35.0;[35.0];;;;;;
2020;Europe's Strongest Man;Loading Race;;;s;reps;100.0;120.0;[100.0, 120.0];;;4;;4.0;
2020;Europe's Strongest Man;Deadlift;;60.0;reps;;350.0;350.0;[350.0];;;;;;
2020;Europe's Strongest Man;Rock Press;;75.0;reps;;100.0;100.0;[100.0];;;;;;
2020;Europe's Strongest Man;Nicol Stones;;;m;;139.0;139.0;[139.0];;;;;1;['']
2020;Europe's Strongest Man;Keg Toss;;;s;reps;18.0;25.0;[18.0, 25.0];;;8;;8.0;
2020;Europe's Strongest Man;Atlas Stones;;;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
2021;Europe's Strongest Man;Max Log Lift;;;kg;;;;;;;;;;
2021;Europe's Strongest Man;Shield Carry;;;m;;200.0;200.0;[200.0];;;;;;
2021;Europe's Strongest Man;Deadlift;;60.0;reps;;360.0;360.0;[360.0];;;;;;
2021;Europe's Strongest Man;Car Walk;20.0;;s;m;450.0;450.0;[450.0];;;;;;
2021;Europe's Strongest Man;Atlas Stones;;;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
2022;Europe's Strongest Man;Max Log Lift;;;kg;;;;;;;;;;
2022;Europe's Strongest Man;Deadlift Ladder;;75.0;s;reps;300.0;400.0;[300.0, 400.0];;;5.0;;1;['']
2022;Europe's Strongest Man;Carry & Drag;40.0;60.0;s;;120.0;120.0;[120.0];;;;;1;['anchor carry']
2022;Europe's Strongest Man;Power Stairs;;60.0;s;;250.0;250.0;[250.0];;;;;;
2022;Europe's Strongest Man;Atlas Stones;;60.0;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
2013;ForÃ§a Bruta;Deadlift;;90.0;reps;;380.0;380.0;[380.0];;;;;;
2013;ForÃ§a Bruta;Super Yoke;12.0;;s;;510.0;510.0;[510.0];;;;;;
2013;ForÃ§a Bruta;Dumbbell Press;;90.0;reps;;100.0;100.0;[100.0];;;;;;
2013;Força Bruta;Deadlift;;90.0;reps;;380.0;380.0;[380.0];;;;;;
2013;Força Bruta;Super Yoke;12.0;;s;;510.0;510.0;[510.0];;;;;;
2013;Força Bruta;Dumbbell Press;;90.0;reps;;100.0;100.0;[100.0];;;;;;
2014;ForÃ§a Bruta;Max Log Lift;;;kg;;;;;;;;;;
2014;ForÃ§a Bruta;Deadlift;;;reps;;360.0;360.0;[360.0];;;;;;
2014;ForÃ§a Bruta;Atlas Stones;;;s;reps;120.0;180.0;[120.0, 180.0];;;6;;6.0;
2014;Força Bruta;Max Log Lift;;;kg;;;;;;;;;;
2014;Força Bruta;Deadlift;;;reps;;360.0;360.0;[360.0];;;;;;
2014;Força Bruta;Atlas Stones;;;s;reps;120.0;180.0;[120.0, 180.0];;;6;;6.0;
2016;ForÃ§a Bruta;Loading Race;;;s;;;;;;;;;;
2016;ForÃ§a Bruta;Keg Toss;;;;;15.0;26.0;[15.0, 26.0];;;12.0;;12.0;
2016;ForÃ§a Bruta;Atlas Stones;;;s;reps;120.0;170.0;[120.0, 170.0];;;6;;6.0;
2016;Força Bruta;Loading Race;;;s;;;;;;;;;;
2016;Força Bruta;Keg Toss;;;;;15.0;26.0;[15.0, 26.0];;;12.0;;12.0;
2016;Força Bruta;Atlas Stones;;;s;reps;120.0;170.0;[120.0, 170.0];;;6;;6.0;
2017;ForÃ§a Bruta;Medley;;;implements;;;;;;;2.0;;2.0;
2017;ForÃ§a Bruta;Deadlift Hold;;;s;;;;;;;;;;
2017;ForÃ§a Bruta;Atlas Stones;;;s;reps;120.0;170.0;[120.0, 170.0];;;6;;6.0;
2017;Força Bruta;Medley;;;implements;;;;;;;2.0;;2.0;
2017;Força Bruta;Deadlift Hold;;;s;;;;;;;;;;
2017;Força Bruta;Atlas Stones;;;s;reps;120.0;170.0;[120.0, 170.0];;;6;;6.0;
2019;ForÃ§a Bruta;Medley;;;;;;;;;;;;;
2019;ForÃ§a Bruta;Keg Toss;;;s;;;;;;;6;;6.0;
2019;ForÃ§a Bruta;Deadlift;;;reps;;375.0;375.0;[375.0];;;;;;
2019;Força Bruta;Medley;;;;;;;;;;;;;
2019;Força Bruta;Keg Toss;;;s;;;;;;;6;;6.0;
2019;Força Bruta;Deadlift;;;reps;;375.0;375.0;[375.0];;;;;;
2020;ForÃ§a Bruta;Medley;;;s;reps;;;;;;3.0;;3.0;
2020;ForÃ§a Bruta;Keg Toss;;;s;reps;20.0;26.0;[20.0, 26.0];;;8.0;;8.0;
2020;ForÃ§a Bruta;Power Stairs;;;s;stairs;275.0;275.0;[275.0];;;5.0;;1.0;['']
2020;Força Bruta;Medley;;;s;reps;;;;;;3.0;;3.0;
2020;Força Bruta;Keg Toss;;;s;reps;20.0;26.0;[20.0, 26.0];;;8.0;;8.0;
2020;Força Bruta;Power Stairs;;;s;stairs;275.0;275.0;[275.0];;;5.0;;1.0;['']
2021;ForÃ§a Bruta;Medley;;;s;reps;200.0;320.0;[300.0, 320.0, 200.0];;;2;;3;['chain drag', 'deadlift', 'power stairs']
2021;ForÃ§a Bruta;Keg Toss;5.0;90.0;s;reps;20.0;26.0;[20.0, 26.0];;;8;;1;['']
2021;ForÃ§a Bruta;Truck Pull;15.0;;s;;8000.0;8000.0;[8000.0];;;;;;
2021;Força Bruta;Medley;;;s;reps;200.0;320.0;[300.0, 320.0, 200.0];;;2;;3;['chain drag', 'deadlift', 'power stairs']
2021;Força Bruta;Keg Toss;5.0;90.0;s;reps;20.0;26.0;[20.0, 26.0];;;8;;1;['']
2021;Força Bruta;Truck Pull;15.0;;s;;8000.0;8000.0;[8000.0];;;;;;
2022;ForÃ§a Bruta;Deadlift;;90.0;reps;;;;;;;;;;
2022;ForÃ§a Bruta;Keg Toss;5.0;90.0;s;reps;17.0;26.0;[17.0, 26.0];;;10;;1;['']
2022;ForÃ§a Bruta;Truck Pull;15.0;;s;;12000.0;12000.0;[12000.0];;;;;;
2022;Força Bruta;Deadlift;;90.0;reps;;;;;;;;;;
2022;Força Bruta;Keg Toss;5.0;90.0;s;reps;17.0;26.0;[17.0, 26.0];;;10;;1;['']
2022;Força Bruta;Truck Pull;15.0;;s;;12000.0;12000.0;[12000.0];;;;;;
2023;Força Bruta;Viking Press;;90.0;reps;;150.0;150.0;[150.0];;;;;;
2023;Força Bruta;Keg Toss;5.0;;s;reps;15.0;20.0;[15.0, 20.0];;;6.0;;1;['']
2023;Força Bruta;Medley;;90.0;s;;140.0;200.0;[200.0, 140.0];;;;;2;['power stairs', 'Atlas stone']
2023;Força Bruta;Bus Pull;15.0;;s;;13000.0;13000.0;[13000.0];;;;;;
2009;Giants Live Mohegan Sun;Frame Carry;30.0;60.0;s;m;365.0;365.0;[365.0];;;;;;
2009;Giants Live Mohegan Sun;Max Axle Press;;;kg;;;;;;;;;;
2009;Giants Live Mohegan Sun;Shield Carry;;;m;;180.0;180.0;[180.0];;;;;;
2009;Giants Live Mohegan Sun;Deadlift;;60.0;reps;;320.0;320.0;[320.0];;;;;;
2009;Giants Live Mohegan Sun;Log Lift;;60.0;reps;;140.0;140.0;[140.0];;;;;;
2009;Giants Live Mohegan Sun;Atlas Stones;;60.0;s;reps;128.0;215.0;[128.0, 215.0];;;5.0;;5.0;
2009;Giants Live Poland;Medley;30.0;;s;;175.0;390.0;[390.0, 175.0];;;;;2;"['yoke', ""farmer's walk""]"
2009;Giants Live Poland;Deadlift;;;reps;;320.0;320.0;[320.0];Car deadlift;;;;;
2009;Giants Live Poland;Tire Flip;;;s;;320.0;400.0;[320.0, 400.0];;;6.0;;2;['', '']
2009;Giants Live Poland;Atlas Stones;;;s;reps;130.0;175.0;[130.0, 175.0];;;5;;5.0;
2009;Giants Live Poland;Viking Press;;;reps;;145.0;145.0;[145.0];;;;;;
2009;Giants Live Poland;Power Stairs;;;s;reps;280.0;280.0;[280.0];;;15;;1;['']
2009;Viking Power Challenge;Super Yoke;20.0;;s;m;410.0;410.0;[410.0];;;;;;
2009;Viking Power Challenge;Max Log Lift;;;kg;;;;;;;;;;
2009;Viking Power Challenge;Deadlift;;;reps;;320.0;320.0;[320.0];Car deadlift;;;;;
2009;Viking Power Challenge;Fingal's Fingers;;;s;reps;300.0;300.0;[300.0];;;5;;5.0;
2009;Viking Power Challenge;Atlas Stones;;;s;reps;140.0;200.0;[140.0, 200.0];;;5;;5.0;
2009;Viking Power Challenge;Medley;;;s;;100.0;100.0;[100.0];;;4.0;;1;
2010;Giants Live Poland;Farmer's Walk;40.0;;s;m;150.0;150.0;[150.0];;;;;;
2010;Giants Live Poland;Carry Medley;30.0;;s;m;190.0;450.0;[450.0, 190.0];;;;;2;['yoke', 'anvil']
2010;Giants Live Poland;Log Medley;;;s;reps;130.0;170.0;[130.0, 170.0];;;3;;3.0;
2010;Giants Live Poland;Loading Race;;;s;;;;;;;;;;
2010;Giants Live Poland;Conan's Wheel;;;;;;;;;;;;;
2010;Giants Live Poland;Atlas Stones;;;s;reps;;;;;;4;;;
2010;Giants Live Poland;Truck Pull;;;s;;;;;;;;;;
2010;Giants Live South Africa;Farmer's Walk;50.0;;s;m;160.0;160.0;[160.0];;;;;;
2010;Giants Live South Africa;Max Log Lift;;;kg;;;;;;;;;;
2010;Giants Live South Africa;Deadlift;;60.0;reps;;350.0;350.0;[350.0];;;;;;
2010;Giants Live South Africa;Keg Toss;;;s;reps;17.0;24.0;[17.0, 24.0];;;8;;8.0;
2010;Giants Live South Africa;Africa Stone;;;m;;180.0;180.0;[180.0];;;;;;
2010;Giants Live South Africa;Atlas Stones;;;s;reps;130.0;180.0;[130.0, 180.0];;;5;;5.0;
2010;Giants Live Turkey;Max Axle Press;;;kg;;;;;;;;;;
2010;Giants Live Turkey;Medley;60.0;;s;;130.0;150.0;[150.0, 130.0];;;;;2;"[""farmer's walk"", 'keg']"
2010;Giants Live Turkey;Shield Carry;;;m;;200.0;200.0;[200.0];;;;;;
2010;Giants Live Turkey;Deadlift;;60.0;reps;;365.0;365.0;[365.0];Car deadlift, side handles;;;;;[]
2010;Giants Live Turkey;Log Lift;;60.0;reps;;150.0;150.0;[150.0];;;;;;
2010;Giants Live Turkey;Atlas Stones;;;s;reps;120.0;180.0;[120.0, 180.0];;;5.0;;5.0;
2010;Giants Live Ukraine;Super Yoke;25.0;;s;m;410.0;410.0;[410.0];;;;;;
2010;Giants Live Ukraine;Arm Over Arm Pull;20.0;;m;;450.0;450.0;[450.0];;;;;;
2010;Giants Live Ukraine;Viking Press;;60.0;reps;;140.0;140.0;[140.0];;;;;;
2010;Giants Live Ukraine;Deadlift;;60.0;reps;;330.0;330.0;[330.0];;;;;;
2010;Giants Live Ukraine;Dumbbell Press;;75.0;reps;;95.0;95.0;[95.0];;;;;;
2010;Giants Live Ukraine;Conan's Wheel;;;;;;;;;;;;;
2010;Giants Live Ukraine;Atlas Stones;;;s;reps;120.0;200.0;[120.0, 200.0];;;5;;5.0;
2011;Giants Live Finland;Truck Pull;;;s;;;;;;;;;;
2011;Giants Live Finland;Log Lift;;60.0;reps;;140.0;140.0;[140.0];;;;;;
2011;Giants Live Finland;Tire Flip;;;s;;440.0;440.0;[440.0];;;;;;
2011;Giants Live Finland;Deadlift;;60.0;reps;;343.0;343.0;[343.0];;;;;;
2011;Giants Live Finland;Front Hold;;;s;;25.0;25.0;[25.0];;;;;;
2011;Giants Live Finland;Loading Race;;;s;implements;90.0;120.0;[90.0, 120.0];;;5;;5.0;
2011;Giants Live Poland;Arm Over Arm Pull;;;s;;;;;;;;;;
2011;Giants Live Poland;Super Yoke;20.0;;s;;380.0;380.0;[380.0];;;;;;
2011;Giants Live Poland;Log Lift;;;reps;;;;;;;;;;
2011;Giants Live Poland;Shield Carry;;;m;;190.0;190.0;[190.0];;;;;;
2011;Giants Live Poland;Atlas Stones;;;s;stones;;;;;;6;;6.0;
2011;Giants Live Poland;Deadlift;;;reps;;;;;;;;;;
2011;Giants Live Ukraine;Sled Pull;;;s;m;;;;;;;;;
2011;Giants Live Ukraine;Frame Carry;;;s;m;;;;;;;;;
2011;Giants Live Ukraine;Conan's Wheel;;;m;;;;;;;;;;
2011;Giants Live Ukraine;Dumbbell Press;;;reps;;95.0;95.0;[95.0];;;;;;
2011;Giants Live Ukraine;Stone Over Bar;;;kg;;;;;;;;;;
2011;Giants Live Ukraine;Squat Lift;;;reps;;;;;;;;;;
2012;Giants Live Finland;Arm Over Arm Pull;;;m;;;;;;;;;;
2012;Giants Live Finland;Truck Pull;;;s;;;;;;;;;;
2012;Giants Live Finland;Viking Press;;60.0;reps;;165.0;165.0;[165.0];;;;;;
2012;Giants Live Finland;Super Yoke;25.0;;s;;400.0;400.0;[400.0];;;;;;
2012;Giants Live Finland;Wheelbarrow Carry;25.0;;s;;420.0;420.0;[420.0];;;;;;
2012;Giants Live Finland;Front Hold;;;s;;25.0;25.0;[25.0];;;;;;
2012;Giants Live FitX Melbourne;Frame Carry;40.0;;s;m;363.0;363.0;[363.0];;;;;;
2012;Giants Live FitX Melbourne;Viking Press;;;reps;;;;;;;;;;
2012;Giants Live FitX Melbourne;Keg Carry;;;s;m;127.0;127.0;[127.0];;;;;;
2012;Giants Live FitX Melbourne;Deadlift;;75.0;reps;;350.0;350.0;[350.0];Partial deadlift;;;;;
2012;Giants Live FitX Melbourne;Hip Lift;;;kg;;;;;;;;;;
2012;Giants Live FitX Melbourne;Loading Race;;;s;reps;120.0;127.0;[127.0, 120.0, 120.0];;;25.0;;3;['kegs', 'keg', 'barrel']
2012;Giants Live Poland;Super Yoke;40.0;;s;m;380.0;380.0;[380.0];;;;;;
2012;Giants Live Poland;Carry & Flip;;;s;;;;;;;;;;
2012;Giants Live Poland;Log Lift;;;reps;;160.0;160.0;[160.0];;;;;;
2012;Giants Live Poland;Conan's Wheel;;;;;;;;;;;;;
2012;Giants Live Poland;Max Deadlift;;;kg;;;;;Partial deadlift;;;;;
2012;Giants Live Poland;Atlas Stones;;;;s;;;;;;5.0;;5.0;
2013;Giants Live FitX Melbourne;Farmer's Walk;30.0;75.0;s;m;165.0;165.0;[165.0];;;;;;
2013;Giants Live FitX Melbourne;Overhead Medley;;;s;reps;95.0;155.0;[140.0, 155.0, 95.0, 127.0];;;16.0;;4;['axle', 'log', 'dumbbell', 'keg']
2013;Giants Live FitX Melbourne;Medley;30.0;75.0;s;m;127.0;450.0;[450.0, 127.0];;;;;2;['yoke', 'keg']
2013;Giants Live FitX Melbourne;Deadlift;;60.0;reps;;350.0;350.0;[350.0];Partial deadlift;;;;;
2013;Giants Live FitX Melbourne;Stone to Shoulder;;60.0;reps;;140.0;140.0;[140.0];;;;;;
2013;Giants Live FitX Melbourne;Loading Race;;;s;reps;120.0;127.0;[127.0, 120.0, 120.0];;;16.0;;3;['kegs', 'keg', 'barrel']
2013;Giants Live Poland;Carry & Drag;;;s;m;;;;;;;;;
2013;Giants Live Poland;Overhead Medley;;;s;reps;;;;;;4;;4.0;
2013;Giants Live Poland;Keg Toss;;;s;reps;;;;;;8;;8.0;
2013;Giants Live Poland;Conan's Wheel;;;;;;;;;;;;;
2013;Giants Live Poland;Medley;;;s;m;;;;;;;;;
2013;Giants Live Poland;Atlas Stones;;;s;reps;;;;;;5;;;
2014;Giants Live FitX Melbourne;Farmer's Walk;45.0;60.0;s;m;150.0;150.0;[150.0];;;;;;
2014;Giants Live FitX Melbourne;Max Deadlift;;;kg;;;;;;;;;;
2014;Giants Live FitX Melbourne;Car Walk;;;s;m;;;;;;;;;
2014;Giants Live FitX Melbourne;Log Lift;;60.0;reps;;140.0;140.0;[140.0];;;;;;
2014;Giants Live FitX Melbourne;Stone to Shoulder;;60.0;reps;;140.0;140.0;[140.0];;;;;;
2014;Giants Live FitX Melbourne;Loading Race;;;s;reps;100.0;127.0;[127.0, 100.0, 115.0];;;25.0;;3;['kegs', 'log', 'log']
2014;Giants Live Hungary;Arm Over Arm Pull;;;s;m;;;;;;;;;
2014;Giants Live Hungary;Log Lift;;60.0;reps;;140.0;140.0;[140.0];;;;;;
2014;Giants Live Hungary;Conan's Wheel;;;;;;;;;;;;;
2014;Giants Live Hungary;Stone to Shoulder;;60.0;reps;;144.0;144.0;[144.0];;;;;;
2014;Giants Live Hungary;Deadlift;;60.0;reps;;370.0;370.0;[370.0];Car deadlift, side handles;;;;;[]
2014;Giants Live Hungary;Cross Carry;;;m;;160.0;160.0;[160.0];;;;;;
2014;Giants Live Norway;Front Hold;;;s;;27.0;27.0;[27.0];;;;;;
2014;Giants Live Norway;Sled Pull;;;s;m;900.0;900.0;[900.0];;;;;;[]
2014;Giants Live Norway;Log Lift;;60.0;reps;;130.0;130.0;[130.0];;;;;;
2014;Giants Live Norway;Loading Race;;;s;reps;80.0;110.0;[80.0, 110.0];;;5;;5.0;
2014;Giants Live Norway;Pole Push;;;;;;;;;;;;;
2014;Giants Live Norway;Stone Over Bar;;;s;;170.0;170.0;[170.0];;;2.0;;2.0;
2014;Giants Live Scandinavian Open;Farmer's Walk;40.0;;s;m;150.0;150.0;[150.0];;;;;;
2014;Giants Live Scandinavian Open;Axle Press;;75.0;reps;;163.0;163.0;[163.0];;;;;;
2014;Giants Live Scandinavian Open;Keg Toss;5.0;;s;reps;18.0;25.0;[18.0, 25.0];;;7;;1;['']
2014;Giants Live Scandinavian Open;Deadlift;;60.0;reps;;350.0;350.0;[350.0];Car deadlift;;;;;
2014;Giants Live Scandinavian Open;Loading Race;;60.0;s;reps;120.0;120.0;[120.0];;;4;;1;
2014;Giants Live Scandinavian Open;Atlas Stones;;;s;reps;110.0;190.0;[110.0, 190.0];;;5;;5.0;
2015;Giants Live Scandinavian Open;Farmer's Walk;40.0;;s;m;150.0;150.0;[150.0];;;;;;
2015;Giants Live Scandinavian Open;Overhead Medley;;;s;reps;115.0;172.0;[115.0, 140.0, 162.0, 172.0];;;16.0;;4;['block', 'barbell', 'axle', 'log']
2015;Giants Live Scandinavian Open;Deadlift;;60.0;reps;;380.0;380.0;[380.0];Car deadlift;;;;;
2015;Giants Live Scandinavian Open;Loading Race;20.0;;s;m;100.0;100.0;[100.0];;;1.0;;1;['bin']
2015;Giants Live Scandinavian Open;Keg Toss;5.0;;s;reps;18.0;25.0;[18.0, 25.0];;;7;;1;['']
2015;Giants Live Scandinavian Open;Atlas Stones;;;s;reps;160.0;200.0;[160.0, 200.0];;;5;;5.0;
2015;Giants Live Viking Challenge;Super Yoke;;;s;m;;;;;;;;;
2015;Giants Live Viking Challenge;Truck Pull;;;s;;19000.0;19000.0;[19000.0];;;;;;
2015;Giants Live Viking Challenge;Wheelbarrow Carry;25.0;;s;m;350.0;350.0;[350.0];;;;;;
2015;Giants Live Viking Challenge;Cross Carry;;;m;reps;;;;;;;;;
2015;Giants Live Viking Challenge;Deadlift;;;kg;;300.0;400.0;[300.0, 400.0];;;6.0;;1;['']
2015;Giants Live Viking Challenge;Log Lift;;;kg;;120.0;170.0;[120.0, 170.0];;;6.0;;1;['']
2015;Giants Live Viking Challenge;Stone Over Bar;;60.0;reps;;160.0;160.0;[160.0];;;;;;
2016;Giants Live North American Open;Max Log Lift;;;kg;;;;;;;;;;
2016;Giants Live North American Open;Deadlift;;60.0;reps;;400.0;400.0;[400.0];Car deadlift, side handles;;;;;[]
2016;Giants Live North American Open;Super Yoke;30.0;60.0;s;;410.0;410.0;[410.0];;;;;;
2016;Giants Live North American Open;Loading Race;;75.0;s;reps;120.0;120.0;[120.0, 120.0];;;16.0;;2;['sacks', 'kegs']
2016;Giants Live North American Open;Frame Carry;30.0;60.0;s;m;365.0;365.0;[365.0];;;;;;
2016;Giants Live North American Open;Atlas Stones;;60.0;s;reps;135.0;185.0;[135.0, 185.0];;;5;;5.0;
2016;Giants Live Scandinavian Open;Deadlift;;60.0;reps;;365.0;365.0;[365.0];Car deadlift;;;;;
2016;Giants Live Scandinavian Open;Farmer's Walk;40.0;;s;m;150.0;150.0;[150.0];;;;;;
2016;Giants Live Scandinavian Open;Keg Toss;5.0;;s;reps;18.0;25.0;[18.0, 25.0];;;7;;1;['']
2016;Giants Live Scandinavian Open;Safe Lift;;60.0;reps;;150.0;150.0;[150.0];;;;;;
2016;Giants Live Scandinavian Open;Loading Race;;;s;reps;110.0;125.0;[110.0, 125.0];;;9.0;;2;['tires', 'sack']
2016;Giants Live Scandinavian Open;Atlas Stones;;;s;reps;120.0;200.0;[120.0, 200.0];;;5.0;;5.0;
2017;Giants Live North American Open;Super Yoke;18.0;;s;;418.0;418.0;[418.0];;;;;;
2017;Giants Live North American Open;Overhead Medley;;;s;reps;;;;;;4;;4.0;
2017;Giants Live North American Open;Deadlift;;60.0;reps;;350.0;350.0;[350.0];;;;;;
2017;Giants Live North American Open;Carry & Drag;20.0;;s;;160.0;160.0;[160.0];;;;;1;"[""farmer's walk""]"
2017;Giants Live North American Open;Atlas Stones;;;s;reps;135.0;185.0;[135.0, 185.0];;;5;;5.0;
2017;Giants Live Scandinavian Open;Deadlift;;60.0;reps;;365.0;365.0;[365.0];Car deadlift;;;;;
2017;Giants Live Scandinavian Open;Safe Lift;;60.0;reps;;150.0;150.0;[150.0];;;;;;
2017;Giants Live Scandinavian Open;Keg Toss;5.0;;s;reps;18.0;25.0;[18.0, 25.0];;;7;;1;['']
2017;Giants Live Scandinavian Open;Fingal's Fingers;;60.0;s;reps;200.0;200.0;[200.0];;;4;;4.0;
2017;Giants Live Scandinavian Open;Car Walk;;;s;;;;;;;;;;
2017;Giants Live Scandinavian Open;Atlas Stones;;;s;;120.0;200.0;[120.0, 200.0];;;5.0;;5.0;
2017;Giants Live World Tour Finals;Log Lift;;60.0;reps;;150.0;150.0;[150.0];;;;;;
2017;Giants Live World Tour Finals;Deadlift;;60.0;reps;;400.0;400.0;[400.0];;;;;;
2017;Giants Live World Tour Finals;Frame Carry;;;s;;;;;;;;;;
2017;Giants Live World Tour Finals;Super Yoke;;;s;;;;;;;;;;
2017;Giants Live World Tour Finals;Atlas Stones;;;s;reps;120.0;200.0;[120.0, 200.0];;;5;;5.0;
2018;Giants Live North American Open;Max Deadlift;;;kg;;;;;;;;;;
2018;Giants Live North American Open;Super Yoke;24.0;;s;m;450.0;450.0;[450.0];;;;;;
2018;Giants Live North American Open;Dumbbell Press;;60.0;reps;;100.0;100.0;[100.0];;;;;;
2018;Giants Live North American Open;Frame Carry;24.0;;s;m;360.0;360.0;[360.0];;;;;;
2018;Giants Live North American Open;Atlas Stones;;;s;reps;135.0;185.0;[135.0, 185.0];;;5;;5.0;
2018;Giants Live World Tour Finals;Max Axle Press;;;kg;;;;;;;;;;
2018;Giants Live World Tour Finals;Deadlift;;60.0;reps;;360.0;360.0;[360.0];;;;;;
2018;Giants Live World Tour Finals;Carry & Drag;;;s;;200.0;350.0;[200.0, 350.0];;;;;2;['duck walk', 'chain drag']
2018;Giants Live World Tour Finals;Car Walk;20.0;;s;;450.0;450.0;[450.0];;;;;;
2018;Giants Live World Tour Finals;Atlas Stones;;;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
2019;Giants Live North American Open;Max Axle Press;;;kg;;;;;;;;;;
2019;Giants Live North American Open;Farmer's Walk;;;m;;155.0;155.0;[155.0];;;;;;[]
2019;Giants Live North American Open;Deadlift;;;reps;;;;;;;;;;
2019;Giants Live North American Open;Super Yoke;30.0;;s;m;450.0;450.0;[450.0];;;;;;
2019;Giants Live North American Open;Atlas Stones;;;s;reps;135.0;185.0;[135.0, 185.0];;;5;;;
2019;Giants Live Wembley;Max Deadlift;;;kg;;;;;;;;;;
2019;Giants Live Wembley;Farmer's Walk;40.0;;s;m;160.0;160.0;[160.0];;;;;;
2019;Giants Live Wembley;Safe Lift;;60.0;reps;;150.0;150.0;[150.0];;;;;;
2019;Giants Live Wembley;Hercules Hold;;;s;;200.0;200.0;[200.0];;;;;;
2019;Giants Live Wembley;Atlas Stones;;;s;reps;120.0;200.0;[120.0, 200.0];;;5;;;
2019;Giants Live World Tour Finals;Deadlift;;60.0;reps;;350.0;350.0;[350.0];;;;;;
2019;Giants Live World Tour Finals;Dumbbell Press;;60.0;reps;;100.0;100.0;[100.0];;;;;;
2019;Giants Live World Tour Finals;Car Walk;20.0;;s;;450.0;450.0;[450.0];;;;;;
2019;Giants Live World Tour Finals;Hercules Hold;;;s;;200.0;200.0;[200.0];;;;;;
2019;Giants Live World Tour Finals;Atlas Stones;;;s;reps;120.0;200.0;[120.0, 200.0];;;5;;5.0;
2021;Arnold UK;Hercules Hold;;;s;;;;;;;;;;
2021;Arnold UK;Frame Carry;18.0;;s;m;400.0;400.0;[400.0];;;;;;
2021;Arnold UK;Deadlift;;60.0;reps;;360.0;360.0;[360.0];Axle bar;;1;;1;
2021;Arnold UK;Dumbbell Press;;;reps;;100.0;100.0;[100.0];;;;;;
2021;Arnold UK;Atlas Stones;;;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
2021;Giants Live Strongman Classic;Max Axle Press;;;kg;;;;;;;;;;
2021;Giants Live Strongman Classic;Hercules Hold;;;s;;;;;;;;;;
2021;Giants Live Strongman Classic;Deadlift;;60.0;reps;;350.0;350.0;[350.0];Axle bar;;1;;1;
2021;Giants Live Strongman Classic;Frame Carry;20.0;;s;;400.0;400.0;[400.0];;;;;;
2021;Giants Live Strongman Classic;Atlas Stones;;;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
2021;Giants Live World Open;Max Deadlift;;;kg;;;;;;;;;;
2021;Giants Live World Open;Carry & Drag;;;s;m;160.0;200.0;[160.0, 200.0];;;;;2;"[""farmer's walk"", 'chain drag']"
2021;Giants Live World Open;Viking Press;;;reps;;160.0;160.0;[160.0];;;;;;
2021;Giants Live World Open;Front Hold;;;s;;30.0;30.0;[30.0];;;;;;
2021;Giants Live World Open;Atlas Stones;;;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
2021;Giants Live World Tour Finals;Nicol Stones;;;m;;139.0;139.0;[139.0];;;;;1;['']
2021;Giants Live World Tour Finals;Log Lift;;75.0;reps;;150.0;150.0;[150.0];;;;;;
2021;Giants Live World Tour Finals;Deadlift;;60.0;reps;;360.0;360.0;[360.0];Axle bar;;1;;1;
2021;Giants Live World Tour Finals;Car Walk;20.0;;s;m;450.0;450.0;[450.0];;;;;;
2021;Giants Live World Tour Finals;Atlas Stones;;60.0;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
